sn,Comments,Labels
4689,Helpful,Representative 
4690,The person was really easy to talk too. Made me feel I was secured.,"Representative ,Representative "
4691,"The fact that I have been waiting on reception of the card for over a month after paying 75$ of fee is really anoying. The person on the call did explain she could not do anything about it but send me another identification form to the same post office where it got lost the first time but to me, t is not enough. You guys should have structure in place in order to avoid or solution those type of inconveniences.","Representative ,Representative ,Terms "
4692,"My concern was handled, properly, the initial person I spoke to was very friendly and connected me with the proper channels to correct the issue. The second person in Security also was friendly and took care of my concern.","Issue Resolution ,Representative ,Representative ,Representative "
4693,The interest charge is too high.,Terms 
4694,No the representative was pleasant and courteous. She was efficient and took care of my business need immediately.,"Representative ,Representative ,Representative "
4695,The turnaround time for when I sent my payment and when it actually gets posted is too long and comparing it to my other credit cards and their systems which in turn I would get ding with late charges.,"Payments ,Terms "
4696,I called regarding a change on my statement that I did not think was mine.  She said she could remove that amount because it was under a certain value.  She then transferred me to the Medicine Hat YYY where they were able to tell me what the charge was for.  It turned out to be the right charge so I then called back to MasterCard to explain.  I then paid the balance.,"Account Communications ,Payments ,Phone Experience ,Phone Experience "
4697,"I had trouble getting cash advanced service at RBC atm

so I called customer service . The representative told me my account has to be reviewed and ask me to call back 
after 72 hr. . 

now . .  it's been almost one week.  i still keep calling them. but they can't tell me what is going on  because
my account is under review.

I just activated my card two weeks ago . . it happened after 3 days later . . and now i don't know what to do. .

never recommand  ABC","ATM ,Credit/Debit Card ,Customer Service ,Phone Experience ,Transaction Types "
4698,"The woman I talked to on the phone was very nice, courteous and helpful. Good customer service goes a long way.","Customer Service ,Representative ,Representative "
4699,Situation solved,Representative 
4700,Good service,Customer Service 
4701,The representative was very pleasant and easy to understand.,"Representative ,Representative ,Representative "
4702,Got excellent service & my questions answered in a very helpful professional manner!!!  Thanks!!!,"Customer Service ,Representative ,Representative ,Representative "
4703,lower interest rates,Terms 
4704,"I was told my birth cert and health card along with any mail showing my name and address would be sufficient for the letter at the post office. That it would also be used as the proof of ID. When I went to the post office to collect my mail ot was a totally different story. So in effect your company has been lying to prospective customers. I have told the woman I was speaking to, to cancel my account with you. Then to add insult to injury, it will take two months to refund my $75.00. 
Definitely not happy with your company and will be going to go with Visa  I will never advise any one to go with your company.","Account Maintenance & Closing ,Brand ,Brand ,Brand "
4705,"If I can sign up ONLINE pre-authorized monthly balance payment on due date, that would be very convenient and I would definitely recommend friends/family members to apply for  ABC Mastercard.","Banking Products/Services ,Payments ,Payments ,Representative "
4706,"I had called to inquire about the status of receiving my new card. I had been put through to an Account Specialist and was told my government issued ID was not valid (although it is. I had validated my identity at Canada Post with my drivers license with my address as well as my power bill which is in my name and addressed to me as requested by Canada Post). I was told at the time that my ID was valid and that I will receive my card within 10-12 business days. I am now told that my account is active, but I cannot receive my new card. Very unimpressed with how I was treated by the employee and I will most likely not be proceeding with  ABC’s services as it was explained to me that my identity can never be verified.","Credit/Debit Card ,Credit/Debit Card ,Representative ,Representative "
4707,helpful and friendly staff.,"Representative ,Representative "
4708,My YYY  ABC MasterCard is the most-used credit card among all my cards.  I enjoy shopping at YYY plus many other places while saving money for every dollar I spent.  The Customer Service at  ABC is also very helpful.  Problems got resolved within minutes.  At this moment I couldn't think of any other cards/card companies that could match the services I got from YYY  ABC MasterCard.,"Issue Resolution ,Issue Resolution ,Representative ,Representative "
4709,the representative is very patient.,Representative 
4710,"The agent I dealt with was polite, and understanding",Representative 
4711,"Having flagged my card for unauthorized use, was told on Aug.9 2018 to cut up gard and a new one would be sent out in 7-10 days. Phoned on Aug. 24 2018 as no card appeared. Was told that new card was not sent out. Asked why, they had no answer. Asked to talk to supervisor and she finally resolved the matter to my satisfaction.","Credit/Debit Card ,Customer Service ,Fraud and Disputes ,Phone Experience ,Representative ,Representative "
4712,Questions were answered promptly,Representative 
4713,"I never received my YYY Rewards check in 2018 so I called to request it to be reissued.  A week later, it did arrive but it had the original expiry date not changed.  With the reprint of the old expired rewards check, it is no good to me.  I requested the agent to have the expiry date changed but I was told it was against the policy of  ABC Master card to extend the expiry date.  I took the reissued check to local YYY store and explained that this was a reissued check because I never received the original in the mail but they would not accept it.","Account Maintenance & Closing ,Rewards ,Rewards "
4714,Good service,Customer Service 
4715,Great to thé point answer. Anderstood my needs right away and knew exactly what to do,Representative 
4716,Courteous response to my request.,Representative 
4717,good incentive for cash back with YYY,"Promotions and Benefits ,Rewards ,Rewards ,Rewards "
4718,20 min waiting on hold - multiple issues with possible fraud concerns - was not issued a new card in a timely fashion,"Credit/Debit Card ,Credit/Debit Card ,Fraud and Disputes ,Fraud and Disputes ,Issue Resolution ,Phone Experience "
4719,The services of your credit card are awesome but I am still having problems login in to my YYY account because I have a regular ABC 1 credit card that have the same phone number and I was not happy that you guys were making me confirm my phone number and email address as this is what is causing the problems and so far the CSR and the supervisor have not been able to fix the problem.,"Brand ,Customer Service ,Customer Service ,Issue Resolution ,Issue Resolution ,Representative ,Representative "
4720,Service was patient and knowledgeable.,Representative 
4721,They were very helpful,Representative 
4722,"i had phoned to request a credit limit increase as my furnace died and we were in immediate need of a new one which we then purchased from YYY.  I have EXCELLENT credit and offered to supply ANY information that may be needed to add $1700 to my very meager $3000 limit.  I will now have to put at least half of the purchase on my other Mastercard that I have a $20,000 limit on. I will also miss out on the cash back benefit offered with the YYY Mastercard.  Ridiculous policy that does not allow for any exceptions.  Even with a YYY purchase!","Life Events ,Rewards ,Rewards ,Terms "
4723,Cash back and good service.,"Customer Service ,Rewards ,Rewards ,Rewards "
4724,my experience with ABC has been good. I get frustrated when I phone for .I  lost connection.,Brand 
4725,"Excellent customer service, competitive rewards and convenience of also being Costo card.","Customer Service ,Reward Redemption ,Rewards "
4726,I like the cash back feature,"Rewards ,Rewards "
4727,This service I God Was very good.,Customer Service 
4728,Excellent service,Customer Service 
4729,"I find your system very inflexible. I have asked in the past for a credit limit increase and told I had one so they could not look at it for another year. After a year I could not get an increase because I had not been at the limit often enough. I make large purchases a few times a year and need the extra limit for these purchases. The last time I had to put into smaller orders and send money to pay it down imediatlyso the rest of the order could go through. I sent an order in last week that I charges to my credit card. I will be a little over $24,000. My credit limit is $18000 so I sent a payment that day ( Thursday,24 August) to bring my balance to zero and phoned to suggest I would send another payment of $6500 to cover the difference so I would not be over the limit. I was told that it would not be authorized as it was over the $18,000 limit even though there would be a credit in my account so it would actually NOT be over the limit. The payment will probably come out this week so I have not arrived at a solution yet. I asked them about doing a one time flag on my account to let it through if the money was there and I would NOT be over the limit. Apparently that is not possible.   IT appears the computer system is running the people and not the people running the computer system.  Since I can't use your card for the large purchases I will have to use another Credit card or a wire transfer for payment. Once again not using my  ABC card to near the limit because the limit is not high enough and apparently I can't get a higher limit because I don't use it near the limit enough.    PLEASE FIX THIS CATCH 22","Issue Resolution ,Payments ,Representative ,Terms ,Transaction Types "
4730,Politely answered my questions,"Representative ,Representative "
4731,Got the job done.  Wasn't on hold for a long period.,Phone Experience 
4732,My reason for calling was easily & quickly dealt with,Phone Experience 
4733,"I had an issue as I had paid my YYY membership in the store & it was also charged to my  ABC card.  It took a while to figure out who would reverse the charge between  ABC & YYY.  I finally got YYY to do this but by this time I had accrued some interest charges on the  ABC account.  YYY advised that I needed to speak to  ABC to have this reversed.  When I called to have this done, the agent advised that he reversed the charges but that I still needed to pay the balance as the credit would not be applied against it.  This made no sense to me & I told this to the agent, he advised it was just the way the system worked.  I continued to question this as it didn't even make sense & was against accounting principles.  He advised it was in the small print in the contract, at this point I asked to speak to someone at a higher level.  He advised they would tell me the same thing but I insisted.  He put me on hold for a time & then came back to the call & advised that he was given permission to apply the credit to my balance.  So in the end it worked out but since I was given the opportunity to review I thought I would mention it.  Thanks","Customer Service ,Payments ,Phone Experience ,Representative ,Representative ,Terms "
4734,Service is great,Customer Service 
4735,The service I got was good but I felt the girl was not listening to me. Even when I told her yes I know how do that function she kept reading the “script”. Plus the call got disconnected.,"Customer Service ,Phone Experience ,Phone Experience ,Representative ,Representative "
4736,"When I tried to activate a new card, the agent requested that I provide the industry in which I worked, I refused. 
The agent, stated that she was required to collect this under Federal Law.
I asked who was requesting this information - YYY and MasterCard.
I was informed YYY.
She again stated that I was required to provide the industry that I worked in as it was required by Federal law and ABC.

I refused and as it appeared that I would not be able to get the new card activated without providing an industry then gave the agent every client I work with....I am a consultant and cross five industries in the last 3 years.
My issue is that in renewing Visa and Amex, I am not required to provides this information (I renewed Visa mid-August).
Given the issues that Canadians who are in the cannabis sector (even if only as an investor in Canadian stocks), in crossing into the US, I find it unreasonable that YYY would require the industry in which I work as part of renewing my M/C. Whether M/C,  ABC or YYY I am sure the agent had no idea.","Banking Products/Services ,Brand ,Credit/Debit Card "
4737,Reasuring and professional feedback that helped me to feel comfortable that the stuation was resolved.,"Representative ,Representative ,Representative "
4738,The representative asked me my company name I 'm working for. It was the first time I heared it 's necessary. She couldn't explain the exact reason for that and in the end she threated she would close my acount.,Representative 
4739,Customer service was very attentive knew what I wanted understood what I was saying and was very courteous and explained everything to me in details so I could understand what would happen and I really did appreciate it,"Representative ,Representative ,Representative "
4740,Excellent service,Customer Service 
4741,"Interest rates are to high on this card, but like the customer service and only have the card to shop at YYY. Also, for  painted bills should be are larger font for people with vision problems over paid my bill twice.","Representative ,Terms "
4742,You sent me a credit card and I have to wait another week for the pin,"Credit/Debit Card ,Credit/Debit Card "
4743,It’s helping me built my credit back ip,"Life Events ,Policy ,Representative "
4744,"Safest credit card on earth if there a suspicious transaction you will get inform on your email 
Always up to date !!!
Highly Recommended!",Fraud and Disputes 
4745,Made a accident payment with a 0 balance and never receive the money back.,Payments 
4746,"the greeting of the operator, his understanding, patience when we had to call the service provider.","Customer Service ,Phone Experience ,Representative "
4747,My questions were answered in a prompt a courteous manner.,"Representative ,Representative "
4748,Customer service rep was able to help me make changes. Totally apreciate it,"Representative ,Representative "
4749,"I called in to follow up on a message regarding my account. Found that the account was suspended with no advanced warning.  Spoke with a representative from the Philippines.  His name was Alex, he was polite but hard to understand.  I wanted to understand what was happening with my account and I receive to clearly defined answer.  After 45 minutes of discussion and being put on hold I asked for a Canadian rep.  Paul answer the questions straight forward. No mucking around.  ABC had made an error.  Please reference your recording to verify.","Phone Experience ,Phone Experience ,Representative ,Representative ,Representative "
4750,"We used your card to book a vacation. The Travel company has gone out of business and we have contacted  ABC on numerous occasions. We have been told many things, 
'you will be reimbursed in a week' Didn't happen!
Fax us the info - Fax line is always busy
'We will send you a letter this week!' - Didn't happen.
We have a special department to deal with this problem! They cannot be contacted!!!!!
Asked for a supervisor! Transferred to someone else who was not a supervisor!
We believe we are getting the run around!","Credit/Debit Card ,Customer Service ,Issue Resolution ,Phone Experience ,Phone Experience ,Phone Experience "
4751,I’m happy with the service I receive from them.,Customer Service 
4752,"Don’t usually recommend financial services to friends. I did upgrade my YYY card to executive, on the advice of a friend.","Customer Service ,Representative ,Representative "
4753,Polite customer service and understanding the clients needs,"Representative ,Representative "
4754,I been with  ABC for over a year and I didn't get a credit limit increase. I had other credit cards that increase my credit limit every 5-6 months.,"Brand ,Terms "
4755,I like the efficiency of notification I received by email from the recent fraud I experienced . The follow up with a phone call to resovle the charges added on my card. They employees were pleasent and very helpful.,"Account Communications ,Customer Service ,Fraud Alerts ,Fraud Alerts ,Representative ,Representative ,Representative "
4756,"good service
good web communication","Customer Service ,Website "
4757,I Had great service,Customer Service 
4758,Friendly and helpful,"Representative ,Representative "
4759, ABC customer service can't answer any complicated questions especially dispute transactions.,"Fraud and Disputes ,Representative ,Representative ,Representative ,Transactions/Process Experience "
4760,Great customer service.  Excellent return policy!  Very friendly  staff!  When you can’t find a product there is always someone to help you.,"Customer Service ,Representative "
4761,"My question was answered satisfactorily, in minimum time.",Representative 
4762,Help recieved for my inquiry right away no answering machines,Phone Experience 
4763,Depends on what kind of card they need.,Representative 
4764,My interest rate is awesome!!,Terms 
4765,"My name has been misspelled on my  ABC card twice now.

When I tried to use the last replacement card sent (that was supposed to have my correct name on it, but didn’t) at YYY Pharmacy yesterday, the card was declined for $117 even though my credit limit is $4,000. I called the 1-800 number on the back of the card, was asked to put in my card number, then my 4 digit pin, which I did not have as I had not used the card yet. After 3 incorrect pin tries I was connected to an agent. It took 3 separate calls to finally activate the card. Each time the agent would put me through to the line that was supposed to allow me to choose a new pin, I would be transferred to an automated message asking for my existing pin and so I would have hang up and start the process all over again, each time with a new agent. I was told by the last agent I spoke with that the error occurred because ABC did not have my employment information on file, even though my company name is printed on the back of the card. I was finally able to pick up my prescription and buy groceries and gas, but when I tried to purchase alcohol (at the YYY liquor store) in the amount of $60 the card was declined. I called ABC for the 4th time and was put through to fraud services and 15 minutes later was told I would have to wait 30 minutes before I could the card (all because the name they had on file did not match the name I gave them over the phone....even though I’ve called  ABC numerous times asking for my name to be updated!) I am extremely frustrated.","Account Maintenance & Closing ,Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Fraud and Disputes ,Phone Experience ,Phone Experience ,Phone Experience ,Representative ,Terms "
4766,I was scammed by a website and fraudulently charged and they wouldn't stop the charges. I called within minutes of seeing it pop up on my phone. Very upset.,Phone Experience 
4767,the customer service staff is very friendly and helpful.,"Representative ,Representative "
4768,I received my  statement and I see everything   Clear so for me is the best way for me to understand because I’m very  Busy  Woman,"Account Communications ,Branch ,Representative "
4769,"The people I spoke with were friendly, polite and helpful. Although I do not have a large limit on my card I am still treated with dignity and respectfulness.","Representative ,Representative ,Representative ,Terms "
4770,"My problem has nothing to do with the customer service I received, which was excellent. They helped me yesterday to get a stop on y account and issue me a new card. 
However this is the 2nd time in less than 2 years that my credit card has been compromised. I have many credit cards, why is it that it happens to this one only?","Credit/Debit Card ,Customer Service ,Fraud and Disputes ,Issue Resolution ,Representative ,Representative "
4771,polite helpful phone service,"Representative ,Representative "
4772,Wrong information made me do a credit card application!,Becoming a Customer 
4773,Worker was very helpful when I call with questions,Representative 
4774,"Mainly one issue:

1. It is very difficult to increase your credit limit. No matter how good you are at paying on time or your financial position,  ABC will not increase your credit limit. I struggle every time I have to purchase things over 10,000 CAD (air tickets, vacation packages, furniture)..",Terms 
4775,When I buy something my money is charged immediately.  When I pay my account where does my money go for 3to4 days before it shows payed.  I'm being charged interest on those days while someone is using my money.  NOT IMPRESSED!,Terms 
4776,Combines YYY membership and no fee credit card with rebates.,"Promotions and Benefits ,Terms "
4777,I'm very pleased with the  ABC Card.,Brand 
4778,"asked if I could raise my limit, was told this only happens once a year and now was not the time. I got a card somewhere esle and will be closing this card in the next few days","Account Maintenance & Closing ,Credit/Debit Card ,Terms "
4779,Very helpful and courteous.,"Representative ,Representative "
4780,Problem was addressed  immediately,"Issue Resolution ,Representative "
4781,thanks for helping  me get my credit back up,"Policy ,Representative "
4782,The service was quick and informative.  I was happy to see that security issues with the card is of high priority.,Issue Resolution 
4783," ABC is there for me.  Easily accessible.  Helpful in times of difficulties, and I have always been able to reach someone when needed.  I would recommend  ABC to my friends.","Brand ,Representative "
4784,Your customer service is very helpful and kind.,"Representative ,Representative "
4785,"I paid off my credit card completely, I didn’t realize it charged another $5.19 to my account. I asked order a new credit card as mine was lost and they refused to send me one until I paid the five dollars (which I had already done but they hadn’t received it yet). 
So in short - wouldn’t send me a replacement card over 5.00. And over the past ten years I’ve really given ALOT of money to this company. Stupid me. Won’t be getting a replacement card. They can get rich off of someone else’s payments. Probably for the best anyhow. And the woman on the phone wasn’t exactly polite either.","Brand ,Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Representative "
4786,"I am ok with  ABC, good customer care,","Brand ,Customer Service "
4787,"Not too long ago I had opportunity to accept 7K increases. I accepted 6K increase at that time. While in California, Los Angels I called to asking for help to increase my limit to 7K for the purpose of car rental deposit as in LA they asked for ridiculous amount for deposit. The agent who was assisting me in this matter tried her best however was not successful. I need a credit card company who will understand the urgency and that sometimes things happen and are able to accommodate. Unfortunately  ABC was not able to assist and I had to embarrassingly ask the car rental company to decrease their deposit.","Representative ,Representative ,Terms ,Transaction Types "
4788,I had a really good experience with your agents when applying for a credit card. Customer service employee was very diligent and helpful,"Becoming a Customer ,Customer Service ,Representative ,Representative "
4789,i called 4 times to resolve the problem and everytime i am told its fixed and give it 3 days then 5 days . still not fixed,"Issue Resolution ,Issue Resolution ,Issue Resolution ,Phone Experience ,Representative "
4790,"The call was initially taken by someone who demonstrated no empathy/sympathy when learning my mother had just passed away.    The supervisor I spoke with originally identified herself as a manager, although her job title is supervisor.    I know the difference.   She demonstrated a little bit more sympathy, but then lectured me about how to never expect to have my account adjusted again.    I am a very reliable customer who usually puts $1500-$2000 on my card per month, and always pay my balance in full....for years.     I (and other customers) deserve better.     I tried to escalate the matter further, and I am awaiting a call back.","Customer Service ,Life Events ,Loans ,Payments ,Phone Experience ,Representative ,Representative "
4791,Very Pleasant supervisor,"Customer Service ,Representative ,Representative "
4792,"patience, listening to problem and going in right direction to resolve issue :)","Issue Resolution ,Representative ,Representative "
4793,Thanks for your 'transaction alert' to protect your clients from fraud web sales.,"Account Communications ,Fraud Alerts ,Fraud and Disputes "
4794,"My use of the card has been positive so far. Also, I like the benefit of a 2% cash back when it is used in restaurants.","Rewards ,Rewards "
4795,"Great customer service.

Thank you",Customer Service 
4796,Customer service was quick and easy. The only reason I may not recommend is due to interest rate on the card. I've had my card awhile and no offer of rate adjustment.,"Customer Service ,Terms "
4797,Looked after professionally with courtesy . Loved the woman from security .,"Representative ,Representative ,Representative "
4798,Low interest rate,Terms 
4799,Good service,Customer Service 
4800,"I had a good experience with the customer service. I just do not feel I should make any recommendations about financial companies. If I ever change my mind, your credit card company is one I would consider. 

Thank you.",Customer Service 
4801,The interest is high,Terms 
4802,great person,Representative 
4803,friendly helpful serviuce,"Representative ,Representative "
4804,"excellent service and excellent activation regarding security check where we can take a photo of id and submit thru text message application is a convenient process simple and fast and secure. 

Regards: Mr Jan Kroon","Becoming a Customer ,Customer Service ,Transactions/Process Experience ,Transactions/Process Experience "
4805,The employee was very professional and polite.,"Representative ,Representative "
4806,when i call for second time they hung up the phone and they didn't think to call pack,"Phone Experience ,Phone Experience "
4807,Wasted my time and your call center agents lied to me,Brand 
4808,Customer service was excellent,Customer Service 
4809,"Polite, accurate answer.",Representative 
4810,I called about a possible fraud.  I received a message saying a purchase had been made from an Apple Store on my card.  for an ITunes gift card in the amount of $100.00.  I tried to give the person on the phone more information like the order number and the time of purchase but he was not interested in that.  He just guaranteed that I would not be responsible for the cost.  I thought he might like the information because if someone has hacked my card/computer it would be better to stop them now rather than letting them incur more costs with my card.  Very unsatisfied.,"Data and ID Security ,Representative ,Representative ,Rewards ,Terms "
4811,"Change the rule about limit upgrades from 12 months to 6 months, cause by the time I get to 6 months of having my ABC card I’ll have a new card from another company with the limit I want and need",Credit/Debit Card 
4812,Csr new his job well trained,Representative 
4813,Excellent service de  ABC,"Brand ,Customer Service "
4814,"My answers are for my general experience with ABC 1, as I don't really remember why I called.
There is an issue I'm not pleased with though an invalid charge from a company UGAR LLC I've asked to have cancelled from my ACCT.
and not to accept or be allowed to bill my ACCT.
Thank you Fred","Account Maintenance & Closing ,Brand "
4815,"For more then 3 years, you are blocking transactions and we lost a lot of money because of that and that is without speaking of the trouble of having to pay in another way and to unblock the card. So we lost the opportunity to buy good plane tickets for a family of six persons because the transaction was block, we had to buy tickets that were not only more expensive but also at a very inconvenient time. Last winter, you block a transaction to buy tickets for a music festival in Europe (the tickets are sold in just 1 hour) so we had to pay 2400$ for tickets instead of 1200$... There are also countless other times that transactions were block such as at my supermarket where I buy groceries every week, to buy local bus tickets, train tickets in Europe from Canada, at a national park in Israel (we called to warn that we were going to travel there and it was block anyways) and so on... 
Another issue is that it is always the main owner of the card that has to call to unblock the card and my spouse cannot do it, it is very annoying.
Nedless to say that we are shopping for another credit card and that we are going to cancel the  ABC card soon.","Account Maintenance & Closing ,Brand ,Credit/Debit Card ,Credit/Debit Card ,Issue Resolution ,Phone Experience ,Transactions/Process Experience "
4816,Prompt polite,Representative 
4817, ABC wery good credit card,Brand 
4818,"Easy to speak to a person, who answered my questions efficiently",Representative 
4819,Helpful,Representative 
4820,Prompt service and great customer care,Customer Service 
4821,My card was stolen a month ago. Had to call twice for replacement. That's pretty amateurish,"Credit/Debit Card ,Phone Experience ,Representative "
4822,"I am taking a trip the month my card expires and called to see if the replacement could be shipped a month early. 
No can do. Is all in the computer. 
So much for customer service","Credit/Debit Card ,Credit/Debit Card "
4823,Process is too long,Transactions/Process Experience 
4824,Friendly & helpful explanation.,"Representative ,Representative "
4825,"Support was very helpful, the individual helping made sure everything worked before signing off.",Representative 
4826,I have been trying to purchase a computer online from YYY and due to small differences it kept getting cancelled. I was calling requesting that they remove the authorisations so that I could redo the cancelled order but they told me it was not possible and to have YYY call them.  This is a YYY MasterCard...You should have the ability to validate the cancellation without putting the customer out further. Either that or make a reasonability decision and see that I am not someone who buys 3 computers in a day so the story is reasonable enough to remove one of the authorisations. In the end I was forced to use another credit card and will miss out on the points for a $1500 purchase which is just not right. The rep on the phone was not helpful at all even when I asked to escalate my issue.,"Customer Service ,Representative ,Rewards "
4827,"The gentleman I spoke with was very knowledgable, warm, polite , verbally approachable, engaging  and able to readily address my questions  honestly - gave time frames that were realistic  . Pleasure speaking with him","Representative ,Representative "
4828,"Very helpful and your never kept on hold long, the staff know what their talking about.","Phone Experience ,Representative ,Representative "
4829,"My request was for an increased credit limit due to home renovations and travel plans.  I was told that I was not eligible for an increase because the  ABC records indicated that my spending patterns showed that I did not qualify for the requested change.

My credit record is impeccable and my need for a credit limit change has to do with convenience rather than a need for a loan.  

We are displeased with YYY  ABC to the point that we are considering our credit card options.","Brand ,Loans ,Terms "
4830,Look at your policy not to increase credit based on number of transactions. Should be based on amounts being charged and customers credit history of paying off their card.,"Policy ,Terms "
4831,No problems communicating,Representative 
4832,Because it can build your credit back up and a little bit of Peace of Mind you have something to fall on,"Life Events ,Policy "
4833,Link an account,"Account Maintenance & Closing ,Account Maintenance & Closing "
4834," ABC has helped me resolve any issues immediately , very kindly and professionally","Issue Resolution ,Issue Resolution ,Representative ,Representative ,Representative ,Representative "
4835,I would like to see  ABC (YYY) offer a pre-authorized payment option with their credit card,Brand 
4836,The representative was extremely nice and helpful,"Representative ,Representative "
4837,Customer service agent very helpful; made a call to vendor on my behalf which avoided a disputed charge procedure.  I was notified of 100% refunded fee that I had NOT requested.,"Account Communications ,Fraud and Disputes ,Representative ,Terms "
4838,Positive experience with call centre.,Customer Service 
4839,Efficient service,Customer Service 
4840,Have had promp & timely service. Called to query a charge and my concerns were quickly taken care of and the matter resolved .,"Issue Resolution ,Representative "
4841,Excellent service,Customer Service 
4842,Awesome attitude,Representative 
4843,Easy to redeem rewards,"Reward Redemption ,Reward Redemption ,Rewards "
4844,Because you took $59 membership fee.,Terms 
4845,This cards allowed me to boost my credit with lower yearly fees than most cards ive been offered,"Policy ,Terms "
4846,I don't like recommending credit cards due to their extremely high interest rates.,Terms 
4847,Good customer service.,Customer Service 
4848,"I made a purchase that I was not made aware of in advance that it was classified as a cash advance. Became aware when I saw the charges on my online bank statement. Had I know in advance I would not have used my Mastercard for this purchase, it was an unpleasant surprise. Have ALWAYS paid before the due date to avoid any extra charges, loathe being charged for nothing.","Account Communications ,Account Communications ,Transaction Types "
4849,Good service and friendly discussions.,"Customer Service ,Representative "
4850,People seem to be good to deal with.,Representative 
4851,I have had a difficult year with my health (cancer) and my account is in arrears. The representative I spoke to was extremely compassionate and was determined to make the situation work.   I am beyond appreciative of the position your company took and will no doubt recommend you.,"Brand ,Life Events ,Representative "
4852,They were very helpful and accommodating to my needs.,Representative 
4853,"I had financial issues due to being put on long term disability, and  ABC was so kind to offer a no interest on a payment plan to pay off my credit card !
Thankyou for helping !","Brand ,Issue Resolution ,Life Events ,Terms "
4854,Rep was pleasant,"Representative ,Representative "
4855,Unwilling to work with me and keep me as a customer. Condescending and hung up on me multiple times.,"Phone Experience ,Representative ,Representative "
4856,"Credit card debt is hard so I am torn on credit lending as we are struggling with it....but I have also found  ABC very good to deal with so if I were recommending a company, it would be yours",Brand 
4857,Leslie gave the best advice and understood my situation.,"Representative ,Representative ,Representative ,Representative "
4858,im Happy building my credit,"Life Events ,Policy "
4859,Whoever answer the call he/she needs more training.,Representative 
4860,"There are so many choices when it comes to credit cards, if however  ABC Card is what would benefit them I most likely recommend.",Promotions and Benefits 
4861,"Service was quick, decisive, helpful","Customer Service ,Representative "
4862,Had a fraud occourance and the agent was helpful and actually called me.,Representative 
4863,Still waiting for my pin they said it be here Friday no pin,Credit/Debit Card 
4864,"I was transferred to identity and fraud department (good name to start with). asking me several questions that didn't accept my answers (seems that I don't know myself and the agent suspected that its not me since that I don't know my age , I should 've told him that i'm 36 years and 9 months and xx days not a simple 37 years). 
and I was asked to send a fax with some identity documents. the fax doesn't work properly. I had to retry 4 times over the course of 5 days to be able to successfully send the documents. 
its been a very offensive experience , I didn't hide any detail when I submitted the application and I know that everything is connected in credit bureau to my SIN . and I provided that.","Account Communications ,Becoming a Customer ,Phone Experience ,Policy ,Representative ,Representative "
4865,Excellent service,Customer Service 
4866,Because you have to wait so long to get your card and then you can number where your phone number should activate your card,"Credit/Debit Card ,Credit/Debit Card "
4867,"Reasonable 
Helpful e remailing my letter due to my id being expired",Representative 
4868,"I simply wanted to update my address because I moved and it took SO long. The automated service could not recognize my street name and then the representative I spoke with had an edge, seemed annoyed with my call, and it took him a half hour to make this simple change. He left me on hold for an extended period of time as well. So annoying.","Account Maintenance & Closing ,Phone Experience ,Phone Experience "
4869, ABC financial services are excellent.,"Brand ,Customer Service "
4870,Because he answered my question,Representative 
4871,"Some of the representatives are not patient with the client during the calls, especially when the client has so-called ""accent"" or rather ""dialect"".","Representative ,Representative "
4872,"The representative was very nice, polite and knowledgeable","Representative ,Representative "
4873,Never really found out why my card was suspended,Credit/Debit Card 
4874,Customer service I experienced was Immaculate and very fast.,Customer Service 
4875,I like to change my statement date to the end of the month and you said you can not do it.,"Account Communications ,Account Maintenance & Closing "
4876,You canceled my credit card without any prior notice of doing so which resulted in an extremely embarrassing moment for me in front of my friends,"Account Communications ,Credit/Debit Card "
4877,I was three days in a row trying to get in to my acct after you changed things and your helper did not speak very good English.,"Representative ,Representative "
4878,Answered all my questions promptly,Representative 
4879,The agent I spoke too was efficient and professional!,"Representative ,Representative "
4880,Knowledgeable and friendly staff,"Representative ,Representative "
4881,You were very helpful to me!,Representative 
4882,I applied for  ABC card since 1 and half month before. I still don't get my credit card. I did everything what they asked me. They gave me stupid reason that they didn't get any answer from Canada post. I went to Canada post they told me that they don't know how to give your information to  ABC. When I called  ABC they said I have to ask Canada post. So I don't know that to do,"Becoming a Customer ,Representative ,Representative "
4883,It was alright he wasn't really friendly on the phone but no big deal ..,Representative 
4884,Everything and everyone was handled well.,Representative 
4885,You help me out with every thing I needed,Representative 
4886,I wanted a printed copy of the Car Rental contract as I've rented a car in the UK.  Had to wait to Monday for the insurance carrier's office to open but they did provide the letter very quickly once I contacted them.,"Account Communications ,Account Communications ,Loans "
4887,Long wait on line and not directed to helpful info.,Representative 
4888,"I was notified of a transaction that was out of the norm for me. I liked that, and called to tell them so! Nice rep on the phone.  Thank you.","Account Communications ,Representative "
4889,Excellent service,Customer Service 
4890,Good for YYY members. But not everyone is interested in belonging to YYY.,"Representative ,Terms "
4891,good service,Customer Service 
4892,great costumers service,Customer Service 
4893,great service and great points options,Customer Service 
4894, ABC is Canada’s best choice when you want to re-build your credit and have a great future,"Brand ,Life Events ,Policy "
4895,The customer service rep was able to help me quickly and efficiently,Representative 
4896,Good customer service,Customer Service 
4897,"Because the agent was not courtous at all. She insisted that the issue is mine. While it's nit, because the mobile does not shows up how much left and If did over the limit. I'm not supposed to have a balance over the Security funds limit.",Representative 
